Ref,Val,Package,PosX,PosY,Rot,Side
"C1","C_100n_100V_0805","C_0805_2012Metric",34.800000,37.200000,90.000000,top
"C3","C_4u7_1210_100V","C_1210_3225Metric",65.744000,18.000000,180.000000,top
"C4","C_2u2_1210","C_1210_3225Metric",65.814000,21.650000,180.000000,top
"C5","C_2u2_1210","C_1210_3225Metric",65.814000,25.300000,180.000000,top
"C6","C_100n_100V_X7R_0603","C_0603_1608Metric",65.700000,15.500000,180.000000,top
"C7","C_3n3_0402","C_0402_1005Metric",64.700000,7.000000,180.000000,top
"C8","C_100n_100V_X7R_0603","C_0603_1608Metric",69.100000,13.800000,180.000000,top
"C9","C_47u_25V_1206","C_1206_3216Metric",72.799000,14.901000,0.000000,top
"C10","C_47u_25V_1206","C_1206_3216Metric",72.799000,12.401000,0.000000,top
"C11","C_4u7_25V_0402","C_0402_1005Metric",92.912000,11.539000,-90.000000,top
"C12","C_18p_0402","C_0402_1005Metric",90.212000,7.180000,-90.000000,top
"C13","C_4u7_25V_0402","C_0402_1005Metric",92.912000,9.500000,-90.000000,top
"C14","C_100n_16V_X7R_0402","C_0402_1005Metric",91.912000,11.519000,-90.000000,top
"C15","C_4u7_25V_0402","C_0402_1005Metric",84.424000,32.401000,180.000000,top
"C17","C_4u7_1210_100V","C_1210_3225Metric",57.375000,33.700000,-90.000000,top
"C18","C_2u2_1210","C_1210_3225Metric",53.741667,33.690000,-90.000000,top
"C19","C_2u2_1210","C_1210_3225Metric",50.108334,33.690000,-90.000000,top
"C20","C_100n_100V_X7R_0603","C_0603_1608Metric",59.975000,32.800000,-90.000000,top
"C21","C_3n3_0402","C_0402_1005Metric",68.475000,30.500000,-90.000000,top
"C22","C_100n_100V_X7R_0603","C_0603_1608Metric",61.675000,34.800000,-90.000000,top
"C23","C_47u_25V_1206","C_1206_3216Metric",63.607334,38.500000,90.000000,top
"C24","C_47u_25V_1206","C_1206_3216Metric",61.107334,38.500000,90.000000,top
"C25","C_10u_0402","C_0402_1005Metric",77.844000,25.781000,0.000000,top
"C26","C_100n_0402","C_0402_1005Metric",77.844000,24.781000,180.000000,top
"C27","C_10u_0402","C_0402_1005Metric",78.550000,36.581000,-90.000000,top
"C28","C_10u_0402","C_0402_1005Metric",81.324000,25.361000,90.000000,top
"C29","C_4u7_25V_0402","C_0402_1005Metric",88.612000,4.660000,0.000000,top
"C30","C_100n_16V_X7R_0402","C_0402_1005Metric",91.912000,9.480000,-90.000000,top
"C31","C_18p_0402","C_0402_1005Metric",90.212000,5.200000,90.000000,top
"C32","C_100n_0402","C_0402_1005Metric",95.488000,21.522000,90.000000,top
"C33","C_4u7_25V_0402","C_0402_1005Metric",75.844000,25.781000,180.000000,top
"C34","C_100n_0402","C_0402_1005Metric",75.844000,24.781000,0.000000,top
"C35","C_100n_0402","C_0402_1005Metric",16.300000,49.200000,0.000000,top
"C36","C_100n_0402","C_0402_1005Metric",93.820000,49.000000,180.000000,top
"C37","C_10n_0603","C_0603_1608Metric",26.500000,37.600000,90.000000,top
"C40","C_1n0_0402","C_0402_1005Metric",79.876000,21.286000,-90.000000,top
"D1","CD-MMBL110S","DFN3538",28.450000,41.170000,-90.000000,top
"D2","CD-MMBL110S","DFN3538",28.450000,33.930000,-90.000000,top
"D3","PTVS58VS1UR,115","D_SOD-123F",32.700000,37.190000,-90.000000,top
"D4","PDS760","PowerDI5",70.100000,7.300000,-90.000000,top
"D5","1N5819HW-7-F","D_SOD-123",65.708334,34.700000,180.000000,top
"D6","RB521S30T1G","SOD-523",96.688000,21.402000,-90.000000,top
"FB1","FB_600Z_0.5A_Murata-BLM18AG_0603","FB_0603_1608Metric",104.497000,18.021000,180.000000,top
"FB2","FB_600Z_0.5A_Murata-BLM18AG_0603","FB_0603_1608Metric",94.112000,12.360000,-90.000000,top
"FB3","FB_600Z_0.5A_Murata-BLM18AG_0603","FB_0603_1608Metric",94.112000,9.760000,-90.000000,top
"J1","Bus_RJ45_5-2337992-8","RJ45_X-2337992-8_Horizontal",19.934000,46.097000,-90.000000,top
